background	        在一个声明中设置所有的背景属性。	 
background-attachment	设置背景图像是否固定或者随着页面的其余部分滚动。	 
background-color	设置元素的背景颜色。	
background-image	设置元素的背景图像。	 
background-position	设置背景图像的开始位置。	 
background-repeat	设置是否及如何重复背景图像。
border			在一个声明中设置所有的边框属性。	 
border-bottom		在一个声明中设置所有的下边框属性。	 
border-bottom-color	设置下边框的颜色。	 
border-bottom-style	设置下边框的样式。	 
border-bottom-width	设置下边框的宽度。	 
border-color		设置四条边框的颜色。	 
border-left		在一个声明中设置所有的左边框属性。	 
border-left-color	设置左边框的颜色。	 
border-left-style	设置左边框的样式。	 
border-left-width	设置左边框的宽度。	 
border-right		在一个声明中设置所有的右边框属性。	 
border-right-color	设置右边框的颜色。	 
border-right-style	设置右边框的样式。	 
border-right-width	设置右边框的宽度。	 
border-style		设置四条边框的样式。	 
border-top		在一个声明中设置所有的上边框属性。	 
border-top-color	设置上边框的颜色。	 
border-top-style	设置上边框的样式。	 
border-top-width	设置上边框的宽度。	 
border-width		设置四条边框的宽度。	 
outline			在一个声明中设置所有的轮廓属性。	 
outline-color		设置轮廓的颜色。	 
outline-style		设置轮廓的样式。	 
outline-width		设置轮廓的宽度。	 
height			设置元素高度。	 
max-height		设置元素的最大高度。	 
max-width		设置元素的最大宽度。	 
min-height		设置元素的最小高度。	 
min-width		设置元素的最小宽度。	 
width			设置元素的宽度。	 
font			在一个声明中设置所有字体属性。	 
font-family		规定文本的字体系列。	 
font-size		规定文本的字体尺寸。	 
font-size-adjust	为元素规定 aspect 值。	 
font-stretch		收缩或拉伸当前的字体系列。	 
font-style		规定文本的字体样式。	 
font-variant		规定是否以小型大写字母的字体显示文本。	 
font-weight		规定字体的粗细。	 
content	与 :before 以及 :after 伪元素配合使用，来插入生成内容。	 
counter-increment	递增或递减一个或多个计数器。	 
counter-reset		创建或重置一个或多个计数器。	 
quotes			设置嵌套引用的引号类型。	 
list-style		在一个声明中设置所有的列表属性。	 
list-style-image	将图象设置为列表项标记。	 
list-style-position	设置列表项标记的放置位置。	 
list-style-type		设置列表项标记的类型。	 
margin			在一个声明中设置所有外边距属性。	 
margin-bottom		设置元素的下外边距。	 
margin-left		设置元素的左外边距。	 
margin-right		设置元素的右外边距。	 
margin-top		设置元素的上外边距。	 
padding			在一个声明中设置所有内边距属性。	 
padding-bottom		设置元素的下内边距。	 
padding-left		设置元素的左内边距。	 
padding-right		设置元素的右内边距。	 
padding-top		设置元素的上内边距。	 
bottom			设置定位元素下外边距边界与其包含块下边界之间的偏移。	 
clear			规定元素的哪一侧不允许其他浮动元素。	 
clip			剪裁绝对定位元素。	 
cursor			规定要显示的光标的类型（形状）。	 
display			规定元素应该生成的框的类型。	 
float			规定框是否应该浮动。	 
left			设置定位元素左外边距边界与其包含块左边界之间的偏移。	 
overflow		规定当内容溢出元素框时发生的事情。	 
position		规定元素的定位类型。	 
right			设置定位元素右外边距边界与其包含块右边界之间的偏移。	 
top			设置定位元素的上外边距边界与其包含块上边界之间的偏移。	 
vertical-align		设置元素的垂直对齐方式。	 
visibility		规定元素是否可见。	 
z-index			设置元素的堆叠顺序。	 
orphans			设置当元素内部发生分页时必须在页面底部保留的最少行数。	 
page-break-after	设置元素后的分页行为。	 
page-break-before	设置元素前的分页行为。	 
page-break-inside	设置元素内部的分页行为。	 
widows			设置当元素内部发生分页时必须在页面顶部保留的最少行数。	 
border-collapse		规定是否合并表格边框。	 
border-spacing		规定相邻单元格边框之间的距离。	 
caption-side		规定表格标题的位置。	 
empty-cells		规定是否显示表格中的空单元格上的边框和背景。	 
table-layout		设置用于表格的布局算法。	 
color			设置文本的颜色。	 
direction		规定文本的方向 / 书写方向。	 
letter-spacing		设置字符间距。	 
line-height		设置行高。	 
text-align		规定文本的水平对齐方式。	 
text-decoration		规定添加到文本的装饰效果。	 
text-indent		规定文本块首行的缩进。	 
text-shadow		规定添加到文本的阴影效果。	 
text-transform		控制文本的大小写。	 
unicode-bidi		设置文本方向。	 
white-space		规定如何处理元素中的空白。	 
word-spacing		设置单词间距。	 
